tipo_transaccion,nombre_comercio,giro_nombre,mcc_nombre,fecha_transaccion,ope_pais,entry_mode,sexo_cliente,estado_cliente,edad_cliente,monto_transaccion,id_cliente,periodo,mañana,tarde,noche,madrugada,presencial,nacional,internacional,anomalia_geografica,anomalia_temporal,anomalia_monto,anomalia_giro_monto,suma_ponderada,Fraude,sexo,fechas_decembrinas,categoria_peligrosa
TDD,LAS Airport              LAS VEGAS,ESTACIONAMIENTOS,ESTACIONAMIENTOS/PENSIONES,11/12/2022 0:34,US,CARD PRESENT,M,JALISCO,23,107.43,3215,madrugada,0,0,0,1,1,0,0,1,1,0,1,0.65,1,0,0,0
TDC,HARD OFF AOMORICHUO      AOMORI,RETAIL,APARATOS ELECTRONICOS PARA EL HOGAR LINEA BLANCA,1/4/2023 2:50,JP,CARD PRESENT,M,JALISCO,19,240.46,1485,madrugada,0,0,0,1,1,0,0,1,1,0,1,0.65,1,0,1,0
TDD,HA-DOFUKOGANEITEN        KOGANEI,RETAIL,APARATOS ELECTRONICOS PARA EL HOGAR LINEA BLANCA,1/8/2023 2:55,JP,CARD PRESENT,M,JALISCO,19,249.2,1485,madrugada,0,0,0,1,1,0,0,1,1,0,1,0.65,1,0,1,0
TDD,SUSHI TEQUILA            BOGOTA,COMIDA RAPIDA,COMIDA RAPIDA,1/11/2023 0:06,CO,CARD PRESENT,M,QUERETARO,20,260.81,6842,madrugada,0,0,0,1,1,0,0,1,1,0,1,0.65,1,0,1,0
TDD,PENG FANG 00034          PINGTUNG,RETAIL,TIENDAS LIBRES DE IMPUESTO,1/26/2023 2:45,TW,CARD PRESENT,M,MEXICO,28,261.28,1288,madrugada,0,0,0,1,1,0,0,1,1,0,1,0.65,1,0,0,0
TDC,RAK DUFRY ARRIVEE 2171   MARRAKECH,RETAIL,TIENDAS LIBRES DE IMPUESTO,12/15/2022 2:15,MA,CARD PRESENT,M,QUERETARO,22,262.34,2417,madrugada,0,0,0,1,1,0,0,1,1,0,1,0.65,1,0,1,0
TDC,DUBLIN VINTAGE SHOP      DUBLIN 1,RETAIL,ROPA PARA CABALLEROS Y DAMA (BOUTIQUE),1/22/2023 5:37,IE,CARD PRESENT,M,TAMAULIPAS,27,266.38,8098,madrugada,0,0,0,1,1,0,0,1,1,0,1,0.65,1,0,0,0
TDC,DAMASQUINADO SUAREZ      TOLEDO,RETAIL,TIENDAS DE REGALOS (REGALOS Y ARTESANIAS),2/18/2023 4:56,ES,CARD PRESENT,M,NUEVO LEON,39,363.9,223,madrugada,0,0,0,1,1,0,0,1,1,0,1,0.65,1,0,0,0
TDD,ADO MOVIL ACCERTIFY 2 MEXICO DF    001,TRANSPORTE TERRESTRE DE PASAJEROS,AUTOBUSES FORANEOS,2/4/2023 20:21,MX,CARD NOT PRESENT,M,VERACRUZ DE IGNACIO DE LA LLAV,22,388.2,2060,noche,0,0,1,0,0,1,0,0,0,1,1,0.55,1,0,0,0
TDC,MOBO PLAZA CUICUILCO  MEXICO DF    000,RETAIL,"EQUIPOS DE TELECOMUNICACION,VTA DE TELEFONOS",11/11/2022 17:55,MX,CARD PRESENT,M,CIUDAD DE MEXICO,28,388.2,9406,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,PLASTI Y CRISTAL HOME CENTRO TAB   TA,RETAIL,CRISTALERIAS,1/30/2023 16:15,MX,CARD PRESENT,M,TABASCO,28,388.2,1462,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,T 284 SP SANTA ANITA JPACHUCA DE SO013,RETAIL,DEPORTES Y ACCESORIOS,12/13/2022 11:57,MX,CARD PRESENT,M,JALISCO,21,388.69,3357,mañana,1,0,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,CHELEROS              GUADALAJARA  00,RESTAURANTE,RESTAURANTES,2/26/2023 0:53,MX,CARD PRESENT,M,JALISCO,25,388.69,3168,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,0,0
TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,1/4/2023 10:40,MX,CARD NOT PRESENT,M,YUCATAN,26,388.69,9552,mañana,1,0,0,0,0,1,0,0,0,1,1,0.55,1,0,1,0
TDC,DLOCAL*SHEIN          CIUDAD DE MEX09,AGREGADOR,AGREGADOR,1/6/2023 13:02,MX,CARD NOT PRESENT,M,GUANAJUATO,24,388.74,4486,tarde,0,1,0,0,0,1,0,0,0,1,1,0.55,1,0,1,0
TDD,OPENPAY*PLAYDOIT MEXICGOMEZ PALACIODGO,AGREGADOR,AGREGADOR,1/1/2023 16:23,MX,CARD NOT PRESENT,M,NUEVO LEON,22,388.87,9326,tarde,0,1,0,0,0,1,0,0,0,1,1,0.55,1,0,1,0
TDC,PAYPAL *COPPEL COM    CIUDAD DE MEXDF,AGREGADOR,AGREGADOR,11/21/2022 0:21,MX,CARD NOT PRESENT,M,VERACRUZ DE IGNACIO DE LA LLAV,21,389.19,3959,madrugada,0,0,0,1,0,1,0,0,1,1,1,0.75,1,0,0,0
TDD,OXXOLAGUNILLA PAC     SN SALVADOR HHI,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",12/22/2022 2:19,MX,CARD PRESENT,M,HIDALGO,23,389.19,6696,madrugada,0,0,0,1,1,0,0,0,1,1,1,0.75,1,0,1,0
TDC,PINT HUVAL 2          LA PAZ BCS   00,RETAIL,DISTRIBUIDOR DE PINTURAS Y BARNICES,3/6/2023 14:01,MX,CARD PRESENT,M,BAJA CALIFORNIA SUR,27,389.19,3810,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,IZZI APP PAGO         CIUDAD DE MEX001,ENTRETENIMIENTO,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,12/2/2022 5:50,MX,CARD NOT PRESENT,M,MEXICO,22,389.19,3786,madrugada,0,0,0,1,0,1,0,0,1,1,0,0.55,1,0,0,0
TDC,DECATHLON ANGEL RELOX MEXICO DF    DF,RETAIL,DEPORTES Y ACCESORIOS,2/9/2023 13:47,MX,CARD PRESENT,M,CIUDAD DE MEXICO,24,389.19,2477,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,ZTL*CINDYESTEFANY     CIUDAD DE MEX001,AGREGADOR,AGREGADOR,2/17/2023 11:47,MX,CARD PRESENT,M,QUERETARO,26,389.19,7643,mañana,1,0,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,TELAS DEPORT AGUASCAL AGUASCALIENTE001,RETAIL,"TELAS Y CASIMIRES,MERCERIAS, BONETERIAS,CORCETERIA",11/16/2022 11:12,MX,CARD PRESENT,M,ZACATECAS,24,389.43,618,mañana,1,0,0,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,HTECH.COM TELCEL      SANPEDRO GARNL,RETAIL,COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE,1/5/2023 18:57,MX,CARD NOT PRESENT,M,MORELOS,26,389.82,7500,noche,0,0,1,0,0,1,0,0,0,1,1,0.55,1,0,1,0
TDD,BET365 MX SEC         CIUDAD DE MEXDF,RETAIL,CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES),1/9/2023 16:22,MX,CARD NOT PRESENT,M,NUEVO LEON,27,390.19,8636,tarde,0,1,0,0,0,1,0,0,0,1,1,0.55,1,0,1,0
TDC,RESTAURANT MANTIRITAS ZIHUATANEJO DGE,RESTAURANTE,RESTAURANTES,11/11/2022 2:00,MX,CARD PRESENT,M,MEXICO,28,390.34,2991,madrugada,0,0,0,1,1,0,0,0,1,1,0,0.55,1,0,0,0
TDC,MERPAGO*FCIACYNTHIA   CIUDAD DE MEXDF,AGREGADOR,AGREGADOR,2/27/2023 19:32,MX,CARD PRESENT,M,CIUDAD DE MEXICO,26,390.69,9180,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,COMER DE MEMORIAS 2   CIUDAD DE MEXDF,RETAIL,COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE,1/14/2023 12:11,MX,CARD PRESENT,M,CIUDAD DE MEXICO,27,390.69,8438,tarde,0,1,0,0,1,0,0,0,0,1,1,0.55,1,0,1,0
TDC,HITS KITCHEN          COMALCALCO TATA,COMIDA RAPIDA,COMIDA RAPIDA,2/2/2023 18:39,MX,CARD PRESENT,M,TABASCO,20,390.69,3607,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDD,BERSHKA COM           CIUDAD DE MEX09,RETAIL,ROPA CASUAL DAMAS LENCERIA,1/15/2023 14:33,MX,CARD NOT PRESENT,M,COAHUILA DE ZARAGOZA,21,390.69,8952,tarde,0,1,0,0,0,1,0,0,0,1,1,0.55,1,0,1,0
TDD,FARM SAN PABLO        CIUDAD DE MEXDF,FARMACIAS,"DROGUERIAS, (FARMACIAS)",12/1/2022 20:17,MX,CARD PRESENT,M,CIUDAD DE MEXICO,27,390.69,1104,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,0,0
TDC,LIVERPOOL POR INTERNETCIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,11/18/2022 1:56,MX,CARD NOT PRESENT,M,PUEBLA,26,390.69,1650,madrugada,0,0,0,1,0,1,0,0,1,1,0,0.55,1,0,0,0
TDC,REBEL WINGS 2         CIUDAD DE MEX001,COMIDA RAPIDA,COMIDA RAPIDA,1/12/2023 20:41,MX,CARD PRESENT,M,CIUDAD DE MEXICO,25,390.89,2241,noche,0,0,1,0,1,0,0,0,0,1,1,0.55,1,0,1,0
